product_id,site,url,brand,name,category_path,price_value,price_currency,size,size_ml_or_g,availability,rating_avg,rating_count,refillable_flag,refill_evidence,refill_parent_sku,packaging_notes,ingredients_present,ean_gtin,image_url,breadcrumbs,first_seen_ts,last_seen_ts,source_site,source_url,scrape_ts,robots_snapshot_id,is_luxury
marionnaud_0,marionnaud,https://marionnaud.fr/product/0,Brand_0,Product 0,['fragrance'],50.0,EUR,50ml,50.0,En stock,4.0,100,True,['facet' 'badge'],refill_0,Standard packaging,True,1234567890120,https://marionnaud.fr/images/product_0.jpg,['Category' 'Brand' 'Product 0'],2025-09-01 11:45:30.575332,2025-09-01 11:45:30.575342,marionnaud,https://marionnaud.fr/product/0,2025-09-01 11:45:30.575343,robots_marionnaud_20250901,False
marionnaud_1,marionnaud,https://marionnaud.fr/product/1,Brand_1,Product 1,['skincare'],65.0,EUR,50ml,50.0,En stock,4.1,110,False,[],,Standard packaging,True,1234567890121,https://marionnaud.fr/images/product_1.jpg,['Category' 'Brand' 'Product 1'],2025-09-01 11:45:30.575374,2025-09-01 11:45:30.575375,marionnaud,https://marionnaud.fr/product/1,2025-09-01 11:45:30.575376,robots_marionnaud_20250901,False
marionnaud_2,marionnaud,https://marionnaud.fr/product/2,Brand_2,Product 2,['makeup'],80.0,EUR,50ml,50.0,En stock,4.2,120,False,[],,Standard packaging,True,1234567890122,https://marionnaud.fr/images/product_2.jpg,['Category' 'Brand' 'Product 2'],2025-09-01 11:45:30.575387,2025-09-01 11:45:30.575388,marionnaud,https://marionnaud.fr/product/2,2025-09-01 11:45:30.575389,robots_marionnaud_20250901,False
marionnaud_3,marionnaud,https://marionnaud.fr/product/3,Brand_3,Product 3,['fragrance'],95.0,EUR,50ml,50.0,En stock,4.3,130,False,[],,Standard packaging,True,1234567890123,https://marionnaud.fr/images/product_3.jpg,['Category' 'Brand' 'Product 3'],2025-09-01 11:45:30.575402,2025-09-01 11:45:30.575402,marionnaud,https://marionnaud.fr/product/3,2025-09-01 11:45:30.575403,robots_marionnaud_20250901,False
marionnaud_4,marionnaud,https://marionnaud.fr/product/4,Brand_4,Product 4,['skincare'],110.0,EUR,50ml,50.0,En stock,4.4,140,True,['facet' 'badge'],refill_4,Standard packaging,True,1234567890124,https://marionnaud.fr/images/product_4.jpg,['Category' 'Brand' 'Product 4'],2025-09-01 11:45:30.575414,2025-09-01 11:45:30.575415,marionnaud,https://marionnaud.fr/product/4,2025-09-01 11:45:30.575416,robots_marionnaud_20250901,False
marionnaud_5,marionnaud,https://marionnaud.fr/product/5,Brand_5,Product 5,['makeup'],125.0,EUR,50ml,50.0,En stock,4.5,150,False,[],,Standard packaging,True,1234567890125,https://marionnaud.fr/images/product_5.jpg,['Category' 'Brand' 'Product 5'],2025-09-01 11:45:30.575425,2025-09-01 11:45:30.575425,marionnaud,https://marionnaud.fr/product/5,2025-09-01 11:45:30.575426,robots_marionnaud_20250901,False
marionnaud_6,marionnaud,https://marionnaud.fr/product/6,Brand_6,Product 6,['fragrance'],140.0,EUR,50ml,50.0,En stock,4.6,160,False,[],,Standard packaging,True,1234567890126,https://marionnaud.fr/images/product_6.jpg,['Category' 'Brand' 'Product 6'],2025-09-01 11:45:30.575434,2025-09-01 11:45:30.575434,marionnaud,https://marionnaud.fr/product/6,2025-09-01 11:45:30.575435,robots_marionnaud_20250901,False
marionnaud_7,marionnaud,https://marionnaud.fr/product/7,Brand_7,Product 7,['skincare'],155.0,EUR,50ml,50.0,En stock,4.7,170,False,[],,Standard packaging,True,1234567890127,https://marionnaud.fr/images/product_7.jpg,['Category' 'Brand' 'Product 7'],2025-09-01 11:45:30.575449,2025-09-01 11:45:30.575450,marionnaud,https://marionnaud.fr/product/7,2025-09-01 11:45:30.575451,robots_marionnaud_20250901,False
marionnaud_8,marionnaud,https://marionnaud.fr/product/8,Brand_8,Product 8,['makeup'],170.0,EUR,50ml,50.0,En stock,4.8,180,True,['facet' 'badge'],refill_8,Standard packaging,True,1234567890128,https://marionnaud.fr/images/product_8.jpg,['Category' 'Brand' 'Product 8'],2025-09-01 11:45:30.575461,2025-09-01 11:45:30.575462,marionnaud,https://marionnaud.fr/product/8,2025-09-01 11:45:30.575463,robots_marionnaud_20250901,False
marionnaud_9,marionnaud,https://marionnaud.fr/product/9,Brand_9,Product 9,['fragrance'],185.0,EUR,50ml,50.0,En stock,4.9,190,False,[],,Standard packaging,True,1234567890129,https://marionnaud.fr/images/product_9.jpg,['Category' 'Brand' 'Product 9'],2025-09-01 11:45:30.575475,2025-09-01 11:45:30.575475,marionnaud,https://marionnaud.fr/product/9,2025-09-01 11:45:30.575476,robots_marionnaud_20250901,False
